,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,[],48.8742855,2.284862,Le Petit Pergolèse,48.87447247161375,2.282856837248875,French Restaurant
1,[],48.8742855,2.284862,Ban Sabai,48.87442566863422,2.2848368634333287,Massage Studio
2,[],48.8742855,2.284862,Hotel Residence Foch,48.87424610014698,2.2811502090041644,Bed & Breakfast
3,[],48.8742855,2.284862,Auberge Dab,48.87671719873794,2.283175002835077,Seafood Restaurant
4,[],48.8742855,2.284862,Jardins de l'Avenue Foch,48.873120670504214,2.2873081310907826,Garden
5,[],48.8742855,2.284862,50Foch by Abdoulaye Fadiga,48.873185044380534,2.284653090320084,Athletics & Sports
6,[],48.8742855,2.284862,Hôtel La Villa Maillot,48.87554562315349,2.283630073070526,Hotel
7,[],48.8742855,2.284862,La Gazette,48.875170559398015,2.2864724501763045,French Restaurant
8,[],48.8742855,2.284862,Del Papa,48.87503954445527,2.2838876363168885,Italian Restaurant
9,[],48.8742855,2.284862,Le Relais de Venise – L'Entrecôte,48.87801880262861,2.2851213812828064,Steakhouse
10,[],48.8792006,2.2960456000000002,La Cantina Chic,48.877338784282294,2.2954969783446963,Italian Restaurant
11,[],48.8792006,2.2960456000000002,Marché Poncelet,48.87881965212008,2.2961453253859894,Farmers Market
12,[],48.8792006,2.2960456000000002,Secret Square,48.878476644634596,2.2949634171393742,Restaurant
13,[],48.8792006,2.2960456000000002,Fromagerie Alléosse,48.87848324706166,2.29636948285079,Cheese Shop
14,[],48.8792006,2.2960456000000002,La Fabbrica,48.877502765571016,2.2950864382419165,Italian Restaurant
15,[],48.8792006,2.2960456000000002,L'Huîtrier,48.87973768272984,2.2961336418205294,Seafood Restaurant
16,[],48.8792006,2.2960456000000002,Kaffeehaus,48.87894108984836,2.2965715298690887,Tea Room
17,[],48.8792006,2.2960456000000002,Frederic Simonin,48.880075877716784,2.294214072720721,French Restaurant
18,[],48.8792006,2.2960456000000002,Schwartz's Deli,48.880494,2.295383,Burger Joint
19,[],48.8792006,2.2960456000000002,Renaissance Paris Arc de Triomphe Hotel,48.87708981040643,2.297060550926176,Hotel
20,[],48.8655925,2.4255664,Parc Jean Moulin les Guilands,48.8620708005156,2.4262098436934645,Park
21,[],48.8655925,2.4255664,CMR Aubade,48.86669707686499,2.4272879441589885,Furniture / Home Store
22,[],48.8655925,2.4255664,La Parqueterie Parisienne,48.86390369999999,2.4273765,Hardware Store
23,[],48.8655925,2.4255664,Le Bellevue,48.86689342763882,2.4224289078327224,French Restaurant
24,[],48.8624066,2.4160583,Aux Deux Avenues,48.86224871721562,2.416197662794527,French Restaurant
25,[],48.8624066,2.4160583,Novotel Café,48.86356674539827,2.4152138829231258,French Restaurant
26,[],48.8624066,2.4160583,Centre Sportif Louis Lumière,48.859157720630144,2.4125665426254272,Stadium
27,[],48.8624066,2.4160583,Sephora,48.8655127,2.41688206,Cosmetics Shop
28,[],48.8624066,2.4160583,Auchan,48.865385252957765,2.4151790142059326,Supermarket
29,[],48.8624066,2.4160583,Paul,48.86543887119138,2.4167137956725258,Bakery
30,[],48.8624066,2.4160583,Petit Dejeuner,48.863772,2.415829,Breakfast Spot
31,[],48.8624066,2.4160583,La Fonderie de l'Image,48.86190280245781,2.4163678876467305,French Restaurant
32,[],48.8624066,2.4160583,Hôtel Campanile,48.86534662198106,2.416615721486406,Hotel
33,[],48.8624066,2.4160583,Restaurant Gallieni,48.86433363651028,2.4163806438446045,Cafeteria
34,[],48.906282700000006,2.3948769,Halle Papin,48.90415,2.400839,Performing Arts Venue
35,[],48.906282700000006,2.3948769,KIngooroo,48.90787421029251,2.39580224959674,Theme Park Ride / Attraction
36,[],48.906282700000006,2.3948769,Vélib' [35-03],48.9045347963085,2.39528909441755,Bike Rental / Bike Share
37,[],48.906282700000006,2.3948769,Sidi bousaïd (cuisine tunisienne),48.90483925270906,2.392876933696591,Mediterranean Restaurant
38,[],48.906282700000006,2.3948769,Chez Fernand,48.903219408299904,2.3959208936972263,French Restaurant
39,[],48.906282700000006,2.3948769,Le 2mille4,48.90236910115161,2.3924750252519043,Fast Food Restaurant
40,[],48.906282700000006,2.3948769,L'Orange Bleue,48.90245647089287,2.3915164382843845,French Restaurant
41,[],48.906282700000006,2.3948769,Boulangerie Bel Air,48.90237964755952,2.3915054249317795,Bakery
42,[],48.9467401,2.3441592,KFC,48.949391743541675,2.342908989569106,Fast Food Restaurant
43,[],48.9467401,2.3441592,TOTAL,48.94842076,2.3428086,Gas Station
44,[],48.9467401,2.3441592,Auchan,48.9492229,2.3438352,Supermarket
45,[],48.9467401,2.3441592,Espace Primeurs,48.94781817509306,2.341048593673999,Fruit & Vegetable Store
46,[],48.9467401,2.3441592,Centre Commercial Bienvenu,48.94956760360714,2.344180941581726,Shopping Mall
47,[],48.9467401,2.3441592,KFC Villetaneuse,48.94967625,2.34285286,Fast Food Restaurant
48,[],48.9467401,2.3441592,Canal De St Denis,48.94775622302644,2.3491613626106167,Canal
49,[],48.9467401,2.3441592,Baraque à frites,48.94355328278662,2.346173594853811,Food Truck
50,[],48.9467401,2.3441592,KOOKAI,48.94419382,2.33939244,Office
51,[],48.9467401,2.3441592,NAF NAF,48.94392168479446,2.339183706489224,Women's Store
52,[],48.9081289,2.2282243999999998,Neoness Colombes-Défense Ouest,48.909265,2.231972,Gym / Fitness Center
53,[],48.9081289,2.2282243999999998,New Wok,48.911061737572005,2.233194520282498,Japanese Restaurant
54,[],48.9081289,2.2282243999999998,Conforama,48.90781,2.230485,Furniture / Home Store
55,[],48.9081289,2.2282243999999998,GrosBill,48.908971547589665,2.231415575333217,Electronics Store
56,[],48.9081289,2.2282243999999998,Complexe sportif Nelson Mandela,48.905675856734824,2.2325634956359863,Soccer Field
57,[],48.9081289,2.2282243999999998,Lood Juice Bar,48.90995013440122,2.234010085022281,Cafeteria
58,[],48.9081289,2.2282243999999998,Restaurant d'Entreprise,48.90961450109632,2.234458035577072,Cafeteria
59,[],48.922232,2.2288083,Parc Pierre Lagravère,48.925883003147845,2.2313404083251953,Park
60,[],48.922232,2.2288083,Le President,48.92084836156287,2.229292521877606,Café
61,[],48.922232,2.2288083,Stade Charles Peguy,48.922643733956264,2.2319490074930957,Soccer Field
62,[],48.922232,2.2288083,Le K.re,48.92329357214042,2.2229944899707053,Restaurant
63,[],48.922232,2.2288083,O'Cheez,48.92440439682973,2.223243512497566,Sandwich Place
64,[],48.7602597,2.4981365,Première Classe Boissy-Saint-Leger,48.7598,2.5019694444,Hotel
65,[],48.7602597,2.4981365,Royal De Boissy,48.75894901005911,2.498170647090296,Chinese Restaurant
66,[],48.7602597,2.4981365,Courtepaille,48.758726,2.503184,French Restaurant
67,[],48.9782826,2.2350126,Garage Central Sannois,48.97933432,2.23595829,Auto Workshop
68,[],48.9782826,2.2350126,Ed,48.97960167349353,2.237658329530073,Convenience Store
69,[],48.9782826,2.2350126,Pizza Hut,48.9816614,2.2319299,Pizza Place
70,[],48.695671000000004,2.2893847999999997,La Foggia,48.693935294611386,2.2929266323575828,Pizza Place
71,[],48.695671000000004,2.2893847999999997,Parc Nativelle,48.692552475824485,2.2903954116002008,Park
72,[],48.695671000000004,2.2893847999999997,Restaurant Étoile d'Anatolie,48.69660849755375,2.294777721560999,Greek Restaurant
73,[],48.695671000000004,2.2893847999999997,Naturéo Saulx-les-Chartreux,48.6953,2.2836,Organic Grocery
74,[],48.695671000000004,2.2893847999999997,Action,48.694662292746685,2.28356867988623,Discount Store
75,[],48.695671000000004,2.2893847999999997,Domino's Pizza,48.69727873375302,2.294938804934418,Pizza Place
