,HomeboxYesandNo,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Homebox ,48.8742855,2.284862,Le Petit Pergolèse,48.87447247161375,2.282856837248875,French Restaurant
1,Homebox ,48.8742855,2.284862,Ban Sabai,48.87442566863422,2.2848368634333287,Massage Studio
2,Homebox ,48.8742855,2.284862,Hotel Residence Foch,48.87424610014698,2.2811502090041644,Bed & Breakfast
3,Homebox ,48.8742855,2.284862,Auberge Dab,48.876717198737936,2.2831750028350766,Seafood Restaurant
4,Homebox ,48.8742855,2.284862,Jardins de l'Avenue Foch,48.87312067050421,2.2873081310907826,Garden
5,Homebox ,48.8742855,2.284862,50Foch by Abdoulaye Fadiga,48.873185044380534,2.284653090320084,Athletics & Sports
6,Homebox ,48.8742855,2.284862,Hôtel La Villa Maillot,48.8755456231535,2.2836300730705257,Hotel
7,Homebox ,48.8742855,2.284862,La Gazette,48.87517055939802,2.2864724501763045,French Restaurant
8,Homebox ,48.8742855,2.284862,Del Papa,48.87503954445527,2.2838876363168885,Italian Restaurant
9,Homebox ,48.8742855,2.284862,Le Relais de Venise – L'Entrecôte,48.87801880262861,2.2851213812828064,Steakhouse
10,Homebox ,48.8792006,2.2960456,La Cantina Chic,48.877338784282294,2.2954969783446963,Italian Restaurant
11,Homebox ,48.8792006,2.2960456,Marché Poncelet,48.87881965212007,2.2961453253859894,Farmers Market
12,Homebox ,48.8792006,2.2960456,Secret Square,48.8784766446346,2.2949634171393742,Restaurant
13,Homebox ,48.8792006,2.2960456,Fromagerie Alléosse,48.87848324706165,2.29636948285079,Cheese Shop
14,Homebox ,48.8792006,2.2960456,La Fabbrica,48.87750276557102,2.2950864382419165,Italian Restaurant
15,Homebox ,48.8792006,2.2960456,L'Huîtrier,48.879737682729846,2.2961336418205294,Seafood Restaurant
16,Homebox ,48.8792006,2.2960456,Kaffeehaus,48.878941089848354,2.2965715298690887,Tea Room
17,Homebox ,48.8792006,2.2960456,Frederic Simonin,48.88007587771678,2.2942140727207208,French Restaurant
18,Homebox ,48.8792006,2.2960456,Schwartz's Deli,48.880494,2.295383,Burger Joint
19,Homebox ,48.8792006,2.2960456,Renaissance Paris Arc de Triomphe Hotel,48.877089810406424,2.297060550926176,Hotel
20,Homebox ,48.8655925,2.4255664,Parc Jean Moulin les Guilands,48.8620708005156,2.4262098436934645,Park
21,Homebox ,48.8655925,2.4255664,CMR Aubade,48.866697076864995,2.4272879441589885,Furniture / Home Store
22,Homebox ,48.8655925,2.4255664,La Parqueterie Parisienne,48.86390369999999,2.4273765,Hardware Store
23,Homebox ,48.8655925,2.4255664,Le Bellevue,48.866893427638814,2.4224289078327224,French Restaurant
24,Homebox ,48.8624066,2.4160583,Aux Deux Avenues,48.862248717215614,2.4161976627945267,French Restaurant
25,Homebox ,48.8624066,2.4160583,Novotel Café,48.86356674539827,2.4152138829231258,French Restaurant
26,Homebox ,48.8624066,2.4160583,Centre Sportif Louis Lumière,48.859157720630144,2.4125665426254272,Stadium
27,Homebox ,48.8624066,2.4160583,Sephora,48.865512700000004,2.41688206,Cosmetics Shop
28,Homebox ,48.8624066,2.4160583,Auchan,48.86538525295777,2.4151790142059326,Supermarket
29,Homebox ,48.8624066,2.4160583,Paul,48.86543887119139,2.4167137956725258,Bakery
30,Homebox ,48.8624066,2.4160583,Petit Dejeuner,48.863772,2.415829,Breakfast Spot
31,Homebox ,48.8624066,2.4160583,La Fonderie de l'Image,48.86190280245781,2.4163678876467305,French Restaurant
