,Product,rentabilite,regions,Prix,Lien
0,                                 Bar + Appartement                             ," 25,71 ",                             nancy (Lorraine) ,38.000,https://www.labonnepierre.com/fr/local-commercial/nord-ouest/111686-bar-appartement.html
1,                                 MAGNIFIQUE IMMEUBLE DE RAPPORT!                             ," 23,90 ",                             Fourmies (Nord-pas-de-calais) ,577.500,https://www.labonnepierre.com/fr/immeuble/nord-ouest/123061-magnifique-immeuble-de-rapport.html
2,"                                 Proche Huppy, Hangar d'environ 400m2                             "," 21,82 ",                             Huppy (Picardie) ,44.000,https://www.labonnepierre.com/fr/entrep%C3%B4t/nord-ouest/100156-proche-huppy-hangar-d-environ-400m2.html
3,"                                 IMMEUBLE rue calme, proximité du centre v...                             "," 19,73 ",                             DENAIN (Nord-pas-de-calais) ,36.500,https://www.labonnepierre.com/fr/immeuble/nord-ouest/115284-immeuble-rue-calme-proximite-du-centre-ville.html
4,                                 Immeuble de rapport de 3 logements                             ," 19,38 ",                             DENAIN (Nord-pas-de-calais) ,96.000,https://www.labonnepierre.com/fr/immeuble/nord-ouest/98060-immeuble-de-rapport-de-3-logements.html
5,                                 Immeuble de rapport                             ," 19,14 ",                             narbonne (Languedoc-roussillon) ,209.000,https://www.labonnepierre.com/fr/immeuble/nord-ouest/122614-immeuble-de-rapport.html
6,                                 Ensemble immobilier excellent  rapport lo...                             ," 18,62 ",                             rambervillers (Lorraine) ,290.000,https://www.labonnepierre.com/fr/immeuble/nord-ouest/101191-ensemble-immobilier-excellent-rapport-locatif.html
7,                                 Entre Mirail Université et Basso                             ," 18,25 ",                             toulouse (Midi-pyrenees) ,48.000,https://www.labonnepierre.com/fr/appartement/nord-ouest/121931-entre-mirail-universite-et-basso.html
8,                                 Immeuble de rapport situé en plein centre...                             ," 16,77 ",                             Hénin-Beaumont (Nord-pas-de-calais) ,172.500,https://www.labonnepierre.com/fr/immeuble/nord-ouest/95807-immeuble-de-rapport-situe-en-plein-centre-ville.html
9,"                                 Centre, proximité tous commerces, tram, immeuble...                             "," 16,36 ",                             DENAIN (Nord-pas-de-calais) ,253.000,https://www.labonnepierre.com/fr/immeuble/nord-ouest/98148-centre-proximite-tous-commerces-tram-immeuble-de-rapport.html
